# source: NASA Exoplanet Archive, pscomppars composite-parameters table, TAP service (keyless). https://exoplanetarchive.ipac.caltech.edu/
# query: select top 1000 pl_name,hostname,ra,dec,st_teff,pl_orbper from pscomppars where st_teff is not null and pl_orbper is not null and ra is not null and dec is not null order by pl_name
# rows: 1000
pl_name,hostname,ra,dec,st_teff,pl_orbper
HD 137388 b,HD 137388,233.9150820,-80.2044169,5181.00,330.00000000000
HD 142022 A b,HD 142022 A,242.5481731,-84.2317494,5421.00,1928.00000000000
HD 142245 b,HD 142245,238.2342443,15.4306118,4922.00,1299.00000000000
HD 149026 b,HD 149026,247.6229827,38.3475349,6179.00,2.87589000000
HD 150010 b,HD 150010,247.8670682,72.6125804,4153.00,562.00000000000
HD 150706 b,HD 150706,247.8255687,79.7894032,5961.00,5894.00000000000
HD 155358 c,HD 155358,257.3930947,33.3549277,5900.00,391.90000000000
HD 155918 b,HD 155918,260.5364025,-75.3492390,5771.84,1.87567000000
HD 156279 b,HD 156279,258.0966686,63.3527828,5453.00,133.40355000000
HD 156411 b,HD 156411,259.9639522,-48.5502313,5900.00,842.20000000000
HD 156846 b,HD 156846,260.1423366,-19.3343650,6090.00,359.51001000000
HD 158259 b,HD 158259,261.3495847,52.7904721,5801.89,2.17800000000
HD 158259 c,HD 158259,261.3495847,52.7904721,5801.89,3.43200000000
HD 158996 b,HD 158996,259.9051092,80.1364033,4069.00,820.20000000000
HD 1605 b,HD 1605,5.1317548,30.9750611,4915.00,577.20000000000
HD 160691 d,HD 160691,266.0361585,-51.8348751,5773.00,9.63920000000
HD 16175 b,HD 16175,39.2577379,42.0624526,5981.00,990.00000000000
HD 164922 c,HD 164922,270.6304652,26.3104077,5390.00,75.74000000000
HD 169830 b,HD 169830,276.9561859,-29.8167919,6300.00,225.67372000000
HD 174205 b,HD 174205,280.7932014,70.7928237,4308.00,582.00000000000
HD 177830 c,HD 177830,286.3363574,25.9204327,4949.00,110.90000000000
HD 18015 b,HD 18015,43.3636339,-8.8480392,5603.00,2278.00000000000
HD 180314 b,HD 180314,288.7094401,31.8604391,4917.00,394.73000000000
HD 180617 b,HD 180617,289.2277322,5.1631615,3534.00,105.91100000000
HD 190007 b,HD 190007,300.6956339,3.3266992,4610.00,11.72412800000
HD 190228 b,HD 190228,300.7537294,28.3065564,5360.00,1143.59858000000
HD 190360 c,HD 190360,300.9092476,29.8945410,5560.00,17.11625000000
HD 190984 b,HD 190984,302.8779827,-64.6202728,5988.00,4885.00000000000
HD 191939 f,HD 191939,302.0256247,66.8503014,5348.00,2898.00000000000
HD 192310 b,HD 192310,303.8284712,-27.0337556,5166.00,74.72000000000
HD 195019 b,HD 195019,307.0792427,18.7692509,5751.00,18.20132000000
HD 20003 b,HD 20003,46.9090081,-72.3219221,5494.00,11.84820000000
HD 20329 b,HD 20329,49.1781240,15.6563542,5596.00,0.92611800000
HD 207496 b,HD 207496,328.7181708,-77.3388025,4819.00,6.44100800000
HD 20794 d,HD 20794,49.9997666,-43.0666533,5368.00,89.68000000000
HD 21520 b,HD 21520,51.6403449,-43.6136649,5871.00,25.12920000000
HD 216435 b,HD 216435,343.4094703,-48.5986332,5999.00,1311.00000000000
HD 22532 b,HD 22532,53.8148478,-49.4172669,5038.00,872.60000000000
HD 240237 b,HD 240237,348.9259334,58.0432233,3926.00,745.70001000000
HD 24064 b,HD 24064,59.1510071,74.0800789,4052.00,535.59998000000
HD 260655 b,HD 260655,99.2915429,17.5662696,3803.00,2.76953000000
HD 27631 b,HD 27631,64.9392168,-41.9606604,5737.00,2198.14000000000
HD 285507 b,HD 285507,61.7556630,15.3349441,4503.00,6.08810000000
HD 30562 b,HD 30562,72.1529519,-5.6751152,5882.00,1157.00000000000
