t,spark,resonance,photons,lattice,Q,coherence,p_extracted,p_out
6.4,0.013539494931145743,1.3500031793472613,1.8225085842477138e-05,0.8288333553187431,1392.5716230492308,0.987466206512507,0.596760015829495,0.5430516144048405
6.42,0.014459019083396656,1.3522643252909978,1.828618805454718e-05,0.8299862968094535,1393.8224276170429,0.9875193899658103,0.5975901337028064,0.5438070216695539
6.44,0.012533397335261778,1.3544934443117855,1.8346524906836042e-05,0.8311393120372906,1395.0777020846565,0.9875660221337236,0.5984203046668493,0.5445624772468328
6.46,0.016467503939927464,1.356792651054351,1.8408862979550942e-05,0.8322986093394144,1396.3374514688874,0.9876245348872159,0.5992549987243783,0.5453220488391842
6.48,0.01412611909812951,1.3590525508479634,1.8470238359663564e-05,0.8334594678244408,1397.6016807962844,0.9876745484044105,0.6000908168335973,0.5460826433185736
6.5,0.011415219490591454,1.3612666312227653,1.8530468412805763e-05,0.8346174015316342,1398.870395103062,0.9877162627974658,0.6009245291027766,0.5468413214835267
6.5200000000000005,0.01350313684777976,1.3635187154034893,1.859183287255582e-05,0.8357762520956329,1400.1435994350315,0.9877651905917482,0.6017589015088557,0.5476006003730587
6.54,0.014816399498750037,1.3657953125924331,1.8653968358994624e-05,0.8369379773658392,1401.421298847532,0.9878179726896003,0.6025953437034042,0.5483617627700978
6.5600000000000005,0.015768311142879347,1.3680901368151686,1.8716706224509467e-05,0.8381036275050836,1402.7034984053614,0.9878729981005504,0.6034346118036602,0.5491254967413308
6.58,0.01670963593855032,1.3704030351983,1.8780044788807133e-05,0.8392740549445088,1403.9902031827062,0.98792994928197,0.6042773195600463,0.5498923607996421
6.6000000000000005,0.016350949674085485,1.3727112305062428,1.8843361223579632e-05,0.8404479119025895,1405.2814182630716,0.9879847260857103,0.6051224965698644,0.5506614718785766
6.62,0.014229421937632113,1.3749837597528514,1.890580339584087e-05,0.8416212976344732,1406.5771487392108,0.9880324528707832,0.6059673342968207,0.5514302742101068
6.640000000000001,0.014096442615266923,1.3772555239698097,1.896832778305355e-05,0.8427941342939907,1407.877399713054,0.988080114872574,0.6068117766916733,0.5521987167894227
6.66,0.012460190339937362,1.3795000761795404,1.903020460179358e-05,0.843963976964198,1409.182176295637,0.9881232593932928,0.6076540634142226,0.5529651977069425
6.68,0.014161225999974117,1.381776147711611,1.9093053223847403e-05,0.8451340957154989,1410.4914836070288,0.9881724867663221,0.6084965489151591,0.5537318595127948
6.7,0.013583886716970356,1.3840436321540006,1.9155767757060386e-05,0.8463035785167107,1411.8053267762602,0.988220123986344,0.6093385765320317,0.5544981046441488
6.72,0.011661214589045926,1.3862787825447103,1.921768862933644e-05,0.8474695352381332,1413.1237109412507,0.9882624148567408,0.6101780653714559,0.5552620394880249
6.74,0.01078521861395902,1.388500033631458,1.9279323433945597e-05,0.8486312417450868,1414.446641248735,0.9883032611795436,0.6110144940564625,0.5560231895913809
6.76,0.011395377150231088,1.3907336359332272,1.9341400461160543e-05,0.8497904647700203,1415.7741228541897,0.988347283780594,0.6118491346344146,0.5567827125173173
6.78,0.010040020501618518,1.3929448370344684,1.940295319020982e-05,0.8509455337812543,1417.1061609217588,0.9883881496286689,0.6126807843225031,0.5575395137334778
6.8,0.008194779300453285,1.3951249275443924,1.9463735634557464e-05,0.8520942878269614,1418.4427606241807,0.9884248520123883,0.6135078872354122,0.5582921773842251
6.82,0.008518258137428042,1.3973123028844459,1.9524816717922334e-05,0.8532384025833426,1419.783927142711,0.9884644342130234,0.6143316498600067,0.5590418013726061
6.84,0.008837826116896926,1.3995069089142331,1.958619588098672e-05,0.8543792561156817,1421.12966566705,0.9885064295636428,0.6151530644032908,0.5597892886069946
6.86,0.007647183243816728,1.401681939482946,1.9647122594726736e-05,0.8555155723619619,1422.4799813952636,0.98854596530095,0.6159712121006126,0.5605338030115574
6.88,0.006552162967703748,1.403839064973465,1.9707641203455725e-05,0.8566464506068607,1423.8348795337101,0.9885836700926335,0.6167854444369397,0.5612747544376152
6.9,0.006885219583064945,1.4060036694652507,1.97684631854975e-05,0.8577734346407141,1425.1943652969617,0.988624041274561,0.6175968729413142,0.5620131543765959
6.92,0.003851346508408998,1.4081158009137624,1.982790108783007e-05,0.8588924009650144,1426.5584439077284,0.9886566263799135,0.6184025286948104,0.5627463011122774
6.94,0.0009593920294877073,1.4101779042838773,1.9886017217304685e-05,0.8600001725520668,1427.9271205967793,0.9886829570358849,0.6192001242374882,0.5634721130561142
