symbol,internal_pair,wsname,base_asset,quote_asset,asset_class,spot_trade_ready,margin_trade_ready,snapshot_status,bid,ask,mid_price,spread,spread_pct,ordermin,costmin,lot_decimals,pair_decimals,lot_step,tick_size,entry_maker_fee_pct,entry_taker_fee_pct,lowest_maker_fee_pct,lowest_taker_fee_pct,margin_supported,leverage_buy,leverage_sell,max_leverage,min_notional_estimate,min_margin_required_estimate,blockers,spot_buy_call,spot_sell_call,limit_buy_call,take_profit_call,margin_long_call,margin_short_call,margin_close_call
ICNTEUR,ICNTEUR,ICNT/EUR,ICNT,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,14.0,0.45,5,4,1e-05,0.0001,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,ticker_not_sampled_budget,"client.place_market_order(""ICNTEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ICNTEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ICNTEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ICNTEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ICNTUSD,ICNTUSD,ICNT/USD,ICNT,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,14.0,0.5,5,4,1e-05,0.0001,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""ICNTUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ICNTUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ICNTUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ICNTUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ICPEUR,ICPEUR,ICP/EUR,ICP,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,2.0,0.45,8,3,1e-08,0.001,0.25,0.4,0.0,0.05,True,2;3,2;3,3,0.45,0.15,ticker_not_sampled_budget,"client.place_market_order(""ICPEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ICPEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ICPEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ICPEUR"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""ICPEUR"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""ICPEUR"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""ICPEUR"", close_side, volume=base_qty)"
ICPUSD,ICPUSD,ICP/USD,ICP,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,2.0,0.5,8,3,1e-08,0.001,0.25,0.4,0.0,0.05,True,2;3,2;3,3,0.5,0.16666666666666666,ticker_not_sampled_budget,"client.place_market_order(""ICPUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ICPUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ICPUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ICPUSD"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""ICPUSD"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""ICPUSD"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""ICPUSD"", close_side, volume=base_qty)"
ICXEUR,ICXEUR,ICX/EUR,ICX,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,130.0,0.45,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,ticker_not_sampled_budget,"client.place_market_order(""ICXEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ICXEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ICXEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ICXEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ICXUSD,ICXUSD,ICX/USD,ICX,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,130.0,0.5,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""ICXUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ICXUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ICXUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ICXUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
IDEXEUR,IDEXEUR,IDEX/EUR,IDEX,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,2600.0,0.45,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,ticker_not_sampled_budget,"client.place_market_order(""IDEXEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""IDEXEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""IDEXEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""IDEXEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
IDEXUSD,IDEXUSD,IDEX/USD,IDEX,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,2600.0,0.5,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""IDEXUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""IDEXUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""IDEXUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""IDEXUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
IDOSEUR,IDOSEUR,IDOS/EUR,IDOS,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,410.0,0.45,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,ticker_not_sampled_budget,"client.place_market_order(""IDOSEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""IDOSEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""IDOSEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""IDOSEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
IDOSUSD,IDOSUSD,IDOS/USD,IDOS,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,410.0,0.5,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""IDOSUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""IDOSUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""IDOSUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""IDOSUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
